 Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Good,US,$399.99, Limited quantity available,Good - Refurbished,"Astoria, New York, United States",,Free 3 day shipping,https://www.ebay.com/itm/254733458977?hash=item3b4f4c1e21:g:~w8AAOSwX9hhhYuu
" Apple iPhone 11 64GB 6.1"" 4G LTE Factory Unlocked Smartphone Good",US,$399.99/ea,Limited quantity available,Good - Refurbished,"Canoga Park, California, United States",,FREE,https://www.ebay.com/itm/174702011120?hash=item28ad0d22f0:g:LpoAAOSwiaFhjY7h
 Apple iPhone X 256gb Unlocked Straight talk Tmobile AT&T Verizon Metro EXCELLENT,US,$359.00, 2 available,Excellent - Refurbished,"Southfield, Michigan, United States",,FREE,https://www.ebay.com/itm/124868756188?hash=item1d12c202dc:g:nekAAOSw94JfLZPa
 Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone - Very Good,US,$249.99, Limited quantity available,Very Good - Refurbished,"Astoria, New York, United States",,Free 3 day shipping,https://www.ebay.com/itm/253478667538?hash=item3b04818512:g:ujcAAOSwbpFhhYsW
 Apple iPhone 8 64GB 256GB Unlocked Straight talk T-mobile AT&T Verizon EXCELLENT,US,$179.00/ea,2 available,Excellent - Refurbished,"Southfield, Michigan, United States",,FREE,https://www.ebay.com/itm/133860431006?hash=item1f2ab4149e:g:91QAAOSwDl9fFe7O
 Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Very Good,US,$419.99, More than 10 available,Very Good - Refurbished,"Astoria, New York, United States",,Free 3 day shipping,https://www.ebay.com/itm/254604777645?epid=27042592108&hash=item3b47a098ad:g:N0cAAOSwqqZhhYug
 Apple iPhone 8 Factory Unlocked 4G LTE Smartphone - Used,US,$154.99, More than 10 available,Used,"Astoria, New York, United States",,Free 3 day shipping,https://www.ebay.com/itm/254038842493?epid=19034802015&hash=item3b25e51c7d:g:eo4AAOSwrW9dpMCe
 Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Very,US,$299.99, More than 10 available,Very Good - Refurbished,"Astoria, New York, United States",,Free 3 day shipping,https://www.ebay.com/itm/254187678666?epid=6045704266&hash=item3b2ec42bca:g:p~EAAOSwKs5hhYs-
 Apple iPhone 8 - 64GB - Space Gray (Factory UNLOCKED) A1863 (CDMA + GSM),US,$168.89, More than 10 available,Used,"Mason, Michigan, United States",,Free 4 day shipping,https://www.ebay.com/itm/133504315305?epid=239086319&hash=item1f157a2fa9:g:0OgAAOSwdohhSjzy
 Apple iPhone XS Max - 256GB - Space Gray (Unlocked) A1921 (CDMA + GSM),US,$379.84,,Used,"Richmond, Virginia, United States",,,https://www.ebay.com/itm/353770469994?epid=24023697465&hash=item525e5cfa6a:g:njwAAOSw5BphiCBU
 Apple iPhone 12 Mini 5G 64GB Black Smartphone T-Mobile MG703LL/A,US,$429.00, Last one,New,"United States, United States",,Free 2 day shipping,https://www.ebay.com/itm/363518170332?epid=3041720606&hash=item54a35f14dc:g:dTEAAOSwdcVhJXBF:sc:ShippingMethodExpress!10032!US!-1
